Attach_Nodes,Alpha_Node,Total_Support
"NOS2,NOS3",AHR,1.0
"NOS2,NOS3",CDKN1B,0.0
"NOS2,NOS3",APLNR,2.0
"NOS2,NOS3",PIK3C3,0.0
"NOS2,NOS3",PIK3R4,0.0
"NOS2,NOS3",AR,1.0
"NOS2,NOS3",KLK3,0.0
"NOS2,NOS3",ARNT,29.0
"NOS2,NOS3",ALDOA,0.0
"NOS2,NOS3",ANGPT1,0.0
"NOS2,NOS3",ANGPT2,0.0
"NOS2,NOS3",ANGPT4,0.0
"NOS2,NOS3",BCL2,0.0
"NOS2,NOS3",CDKN1A,0.0
"NOS2,NOS3",EDN1,0.0
"NOS2,NOS3",EGF,0.0
"NOS2,NOS3",ENO1,0.0
"NOS2,NOS3",ENO2,0.0
"NOS2,NOS3",ENO3,0.0
"NOS2,NOS3",ENO4,0.0
"NOS2,NOS3",EPO,0.0
"NOS2,NOS3",FLT1,0.0
"NOS2,NOS3",GAPDH,0.0
"NOS2,NOS3",HK1,0.0
"NOS2,NOS3",HK2,0.0
"NOS2,NOS3",HK3,0.0
"NOS2,NOS3",HKDC1,0.0
"NOS2,NOS3",HMOX1,0.0
"NOS2,NOS3",LDHA,0.0
"NOS2,NOS3",LTBR,0.0
"NOS2,NOS3",NPPA,0.0
"NOS2,NOS3",PDK1,0.0
"NOS2,NOS3",PFKFB3,0.0
"NOS2,NOS3",PFKL,0.0
"NOS2,NOS3",PGK1,0.0
"NOS2,NOS3",SERPINE1,0.0
"NOS2,NOS3",SLC2A1,0.0
"NOS2,NOS3",TEK,0.0
"NOS2,NOS3",TF,0.0
"NOS2,NOS3",TFRC,0.0
"NOS2,NOS3",TIMP1,0.0
"NOS2,NOS3",VEGFA,0.0
"NOS2,NOS3",ARNTL,15.0
"NOS2,NOS3",BHLHE40,0.0
"NOS2,NOS3",BHLHE41,0.0
"NOS2,NOS3",CRY1,0.0
"NOS2,NOS3",CRY2,0.0
"NOS2,NOS3",NR1D1,15.0
"NOS2,NOS3",PER1,0.0
"NOS2,NOS3",PER2,0.0
"NOS2,NOS3",PER3,0.0
"NOS2,NOS3",RORA,15.0
"NOS2,NOS3",RORB,15.0
"NOS2,NOS3",RORC,15.0
"NOS2,NOS3",ASH2L,2.0
"NOS2,NOS3",CDKN2A,0.0
"NOS2,NOS3",CDKN2B,0.0
"NOS2,NOS3",CDKN2C,0.0
"NOS2,NOS3",ATF2,38.0
"NOS2,NOS3",MCL1,0.0
"NOS2,NOS3",FGF21,0.0
"NOS2,NOS3",PPARGC1A,2.0
"NOS2,NOS3",UCP1,0.0
"NOS2,NOS3",ZNF516,0.0
"NOS2,NOS3",INS,0.0
"NOS2,NOS3",TG,0.0
"NOS2,NOS3",CPT1A,0.0
"NOS2,NOS3",CPT1B,0.0
"NOS2,NOS3",CPT1C,0.0
"NOS2,NOS3",G6PC,0.0
"NOS2,NOS3",G6PC2,0.0
"NOS2,NOS3",G6PC3,0.0
"NOS2,NOS3",PCK1,0.0
"NOS2,NOS3",PCK2,0.0
"NOS2,NOS3",SIK1,0.0
"NOS2,NOS3",SIK1B,0.0
"NOS2,NOS3",CYP11B2,0.0
"NOS2,NOS3",STAR,0.0
"NOS2,NOS3",VEGFB,0.0
"NOS2,NOS3",VEGFC,0.0
"NOS2,NOS3",VEGFD,0.0
"NOS2,NOS3",CYP11B1,0.0
"NOS2,NOS3",CYP17A1,0.0
"NOS2,NOS3",NCEH1,0.0
"NOS2,NOS3",FOS,173.0
"NOS2,NOS3",TNFSF11,0.0
"NOS2,NOS3",POMC,0.0
"NOS2,NOS3",BDNF,0.0
"NOS2,NOS3",PDYN,0.0
"NOS2,NOS3",ARC,0.0
"NOS2,NOS3",FOSB,18.0
"NOS2,NOS3",CRH,0.0
"NOS2,NOS3",NPY,0.0
"NOS2,NOS3",CXCL8,0.0
"NOS2,NOS3",PCNA,0.0
"NOS2,NOS3",CCL2,0.0
"NOS2,NOS3",CCL5,0.0
"NOS2,NOS3",CXCL10,0.0
"NOS2,NOS3",ICAM1,0.0
"NOS2,NOS3",IL12A,0.0
"NOS2,NOS3",IL12B,0.0
"NOS2,NOS3",IL1A,0.0
"NOS2,NOS3",IL1B,0.0
"NOS2,NOS3",IL6,0.0
"NOS2,NOS3",TNF,3.0
"NOS2,NOS3",CCND1,0.0
"NOS2,NOS3",ATF4,38.0
"NOS2,NOS3",PRKN,0.0
"NOS2,NOS3",DDIT3,0.0
"NOS2,NOS3",ATF6B,31.0
"NOS2,NOS3",BBC3,55.0
"NOS2,NOS3",TP53,53.0
"NOS2,NOS3",TP53AIP1,0.0
"NOS2,NOS3",BCL3,1.0
"NOS2,NOS3",CCL17,0.0
"NOS2,NOS3",CCL22,0.0
"NOS2,NOS3",IL10,0.0
"NOS2,NOS3",IL23A,0.0
"NOS2,NOS3",BORCS8-MEF2B,30.0
"NOS2,NOS3",KLF2,29.0
"NOS2,NOS3",CAMK4,11.0
"NOS2,NOS3",CBL,2.0
"NOS2,NOS3",THBS1,0.0
"NOS2,NOS3",TIMP3,0.0
"NOS2,NOS3",CD40,-2.0
"NOS2,NOS3",CDX2,5.0
"NOS2,NOS3",ABCB1,0.0
"NOS2,NOS3",CDH17,0.0
"NOS2,NOS3",MUC2,0.0
"NOS2,NOS3",REG4,0.0
"NOS2,NOS3",SHH,0.0
"NOS2,NOS3",CEBPA,43.0
"NOS2,NOS3",CSF3R,0.0
"NOS2,NOS3",E2F1,7.0
"NOS2,NOS3",E2F2,4.0
"NOS2,NOS3",E2F3,4.0
"NOS2,NOS3",MYC,19.0
"NOS2,NOS3",CIITA,14.0
"NOS2,NOS3",HLA-DMA,0.0
"NOS2,NOS3",HLA-DMB,0.0
"NOS2,NOS3",HLA-DOA,0.0
"NOS2,NOS3",HLA-DOB,0.0
"NOS2,NOS3",HLA-DPA1,0.0
"NOS2,NOS3",HLA-DPB1,0.0
"NOS2,NOS3",HLA-DQA1,0.0
"NOS2,NOS3",HLA-DQA2,0.0
"NOS2,NOS3",HLA-DQB1,0.0
"NOS2,NOS3",HLA-DRA,0.0
"NOS2,NOS3",HLA-DRB1,0.0
"NOS2,NOS3",HLA-DRB3,0.0
"NOS2,NOS3",HLA-DRB4,0.0
"NOS2,NOS3",HLA-DRB5,0.0
"NOS2,NOS3",CITED2,1.0
"NOS2,NOS3",BNIP3L,0.0
"NOS2,NOS3",CLOCK,16.0
"NOS2,NOS3",CREB1,63.0
"NOS2,NOS3",AQP2,0.0
"NOS2,NOS3",MITF,3.0
"NOS2,NOS3",JUN,274.0
"NOS2,NOS3",ACP5,0.0
"NOS2,NOS3",CALCR,0.0
"NOS2,NOS3",CTSK,0.0
"NOS2,NOS3",ITGB3,0.0
"NOS2,NOS3",REN,0.0
"NOS2,NOS3",CD74,0.0
"NOS2,NOS3",PTGER4,0.0
"NOS2,NOS3",CREB3,47.0
"NOS2,NOS3",CREB3L1,47.0
"NOS2,NOS3",CREB3L2,47.0
"NOS2,NOS3",CREB3L3,47.0
"NOS2,NOS3",CREB3L4,47.0
"NOS2,NOS3",CREB5,43.0
"NOS2,NOS3",CREBBP,42.0
"NOS2,NOS3",IFNB1,0.0
"NOS2,NOS3",CRTC2,9.0
"NOS2,NOS3",CTNNB1,228.0
"NOS2,NOS3",CCND2,0.0
"NOS2,NOS3",CCND3,0.0
"NOS2,NOS3",CCNE1,0.0
"NOS2,NOS3",CCNE2,0.0
"NOS2,NOS3",BNIP3,0.0
"NOS2,NOS3",FOXM1,0.0
"NOS2,NOS3",MYBL2,0.0
"NOS2,NOS3",CCNA1,0.0
"NOS2,NOS3",CCNA2,0.0
"NOS2,NOS3",E2F4,34.0
"NOS2,NOS3",E2F5,34.0
"NOS2,NOS3",EGFR,1.0
"NOS2,NOS3",PTGS2,0.0
"NOS2,NOS3",EGR1,3.0
"NOS2,NOS3",SPP1,0.0
"NOS2,NOS3",PTH,0.0
"NOS2,NOS3",EGR2,1.0
"NOS2,NOS3",FASLG,0.0
"NOS2,NOS3",EGR3,1.0
"NOS2,NOS3",EIF4EBP2,9.0
"NOS2,NOS3",CRYAB,0.0
"NOS2,NOS3",HSPA1A,0.0
"NOS2,NOS3",HSPA1B,0.0
"NOS2,NOS3",HSPA1L,0.0
"NOS2,NOS3",HSPA2,0.0
"NOS2,NOS3",HSPA6,0.0
"NOS2,NOS3",HSPA8,0.0
"NOS2,NOS3",SOD1,0.0
"NOS2,NOS3",SOD2,0.0
"NOS2,NOS3",ELK1,-81.0
"NOS2,NOS3",BIRC2,0.0
"NOS2,NOS3",BIRC3,0.0
"NOS2,NOS3",XIAP,0.0
"NOS2,NOS3",FOSL1,55.0
"NOS2,NOS3",ELK4,-81.0
"NOS2,NOS3",EP300,42.0
"NOS2,NOS3",EPAS1,5.0
"NOS2,NOS3",FIGF,0.0
"NOS2,NOS3",PDGFB,0.0
"NOS2,NOS3",PGF,0.0
"NOS2,NOS3",TGFA,0.0
"NOS2,NOS3",TGFB1,1.0
"NOS2,NOS3",TGFB2,0.0
"NOS2,NOS3",TGFB3,0.0
"NOS2,NOS3",ESR1,93.0
"NOS2,NOS3",CTSD,0.0
"NOS2,NOS3",EBAG9,0.0
"NOS2,NOS3",KRT10,0.0
"NOS2,NOS3",KRT12,0.0
"NOS2,NOS3",KRT13,0.0
"NOS2,NOS3",KRT14,0.0
"NOS2,NOS3",KRT15,0.0
"NOS2,NOS3",KRT16,0.0
"NOS2,NOS3",KRT17,0.0
"NOS2,NOS3",KRT18,0.0
"NOS2,NOS3",KRT19,0.0
"NOS2,NOS3",KRT20,0.0
"NOS2,NOS3",KRT23,0.0
"NOS2,NOS3",KRT24,0.0
"NOS2,NOS3",KRT25,0.0
"NOS2,NOS3",KRT26,0.0
"NOS2,NOS3",KRT27,0.0
"NOS2,NOS3",KRT28,0.0
"NOS2,NOS3",KRT31,0.0
"NOS2,NOS3",KRT32,0.0
"NOS2,NOS3",KRT33A,0.0
"NOS2,NOS3",KRT33B,0.0
"NOS2,NOS3",KRT34,0.0
"NOS2,NOS3",KRT35,0.0
"NOS2,NOS3",KRT36,0.0
"NOS2,NOS3",KRT37,0.0
"NOS2,NOS3",KRT38,0.0
"NOS2,NOS3",KRT39,0.0
"NOS2,NOS3",KRT40,0.0
"NOS2,NOS3",KRT9,0.0
"NOS2,NOS3",LOC100653049,0.0
"NOS2,NOS3",PGR,3.0
"NOS2,NOS3",RARA,48.0
"NOS2,NOS3",TFF1,0.0
"NOS2,NOS3",ATP2B1,0.0
"NOS2,NOS3",CALB1,0.0
"NOS2,NOS3",SLC8A1,0.0
"NOS2,NOS3",TRPV5,0.0
"NOS2,NOS3",PPARD,8.0
"NOS2,NOS3",ESR2,89.0
"NOS2,NOS3",ETS1,-82.0
"NOS2,NOS3",CDK4,0.0
"NOS2,NOS3",IL8,0.0
"NOS2,NOS3",MMP1,0.0
"NOS2,NOS3",MMP2,0.0
"NOS2,NOS3",MMP9,0.0
"NOS2,NOS3",ETS2,-81.0
"NOS2,NOS3",BCL2L11,0.0
"NOS2,NOS3",FAS,0.0
"NOS2,NOS3",HRK,0.0
"NOS2,NOS3",NFATC1,56.0
"NOS2,NOS3",CCL3,0.0
"NOS2,NOS3",CCL3L1,0.0
"NOS2,NOS3",CCL3L3,0.0
"NOS2,NOS3",CCL4,0.0
"NOS2,NOS3",CCL4L1,0.0
"NOS2,NOS3",CCL4L2,0.0
"NOS2,NOS3",GATA3,28.0
"NOS2,NOS3",IFNG,3.0
"NOS2,NOS3",IL12RB1,2.0
"NOS2,NOS3",IL12RB2,2.0
"NOS2,NOS3",IL13,0.0
"NOS2,NOS3",IL2,0.0
"NOS2,NOS3",IL2RA,0.0
"NOS2,NOS3",IL4,0.0
"NOS2,NOS3",IL4R,0.0
"NOS2,NOS3",IL5,0.0
"NOS2,NOS3",TBX21,33.0
"NOS2,NOS3",CSF2,0.0
"NOS2,NOS3",CXCL1,0.0
"NOS2,NOS3",CXCL2,0.0
"NOS2,NOS3",CXCL3,0.0
"NOS2,NOS3",FGF2,0.0
"NOS2,NOS3",CTSL,0.0
"NOS2,NOS3",PDGFA,0.0
"NOS2,NOS3",SELE,0.0
"NOS2,NOS3",VCAM1,0.0
"NOS2,NOS3",CDK5,0.0
"NOS2,NOS3",GRIA2,0.0
"NOS2,NOS3",NFKB1,183.0
"NOS2,NOS3",RELA,181.0
"NOS2,NOS3",FOSL2,56.0
"NOS2,NOS3",FOXA2,10.0
"NOS2,NOS3",PDX1,11.0
"NOS2,NOS3",CAT,0.0
"NOS2,NOS3",FOXO1,30.0
"NOS2,NOS3",FBP1,0.0
"NOS2,NOS3",FBP2,0.0
"NOS2,NOS3",ATG12,0.0
"NOS2,NOS3",ATM,0.0
"NOS2,NOS3",BCL6,0.0
"NOS2,NOS3",CCNB1,0.0
"NOS2,NOS3",CCNB2,0.0
"NOS2,NOS3",CCNB3,0.0
"NOS2,NOS3",CCNG2,0.0
"NOS2,NOS3",CDKN2D,0.0
"NOS2,NOS3",FBXO25,0.0
"NOS2,NOS3",FBXO32,0.0
"NOS2,NOS3",GABARAP,0.0
"NOS2,NOS3",GABARAPL1,0.0
"NOS2,NOS3",GABARAPL2,0.0
"NOS2,NOS3",GADD45A,0.0
"NOS2,NOS3",GADD45B,0.0
"NOS2,NOS3",GADD45G,0.0
"NOS2,NOS3",IL7R,0.0
"NOS2,NOS3",PLK1,0.0
"NOS2,NOS3",PLK2,0.0
"NOS2,NOS3",PLK3,0.0
"NOS2,NOS3",PLK4,0.0
"NOS2,NOS3",RAG1,0.0
"NOS2,NOS3",RAG2,0.0
"NOS2,NOS3",RBL2,32.0
"NOS2,NOS3",S1PR1,0.0
"NOS2,NOS3",S1PR4,0.0
"NOS2,NOS3",TNFSF10,0.0
"NOS2,NOS3",ATG5,0.0
"NOS2,NOS3",FOXO3,40.0
"NOS2,NOS3",GALT,0.0
"NOS2,NOS3",FOXO4,30.0
"NOS2,NOS3",FOXO6,30.0
"NOS2,NOS3",MAF,3.0
"NOS2,NOS3",GATA4,2.0
"NOS2,NOS3",TRAF3IP2,0.0
"NOS2,NOS3",GCM1,1.0
"NOS2,NOS3",GCM2,1.0
"NOS2,NOS3",GLI1,31.0
"NOS2,NOS3",BMP2,0.0
"NOS2,NOS3",BMP4,0.0
"NOS2,NOS3",BMP5,0.0
"NOS2,NOS3",BMP6,0.0
"NOS2,NOS3",BMP7,0.0
"NOS2,NOS3",BMP8A,0.0
"NOS2,NOS3",BMP8B,0.0
"NOS2,NOS3",GLI2,31.0
"NOS2,NOS3",GLI3,31.0
"NOS2,NOS3",HHIP,0.0
"NOS2,NOS3",PTCH1,0.0
"NOS2,NOS3",PTCH2,0.0
"NOS2,NOS3",WNT1,0.0
"NOS2,NOS3",WNT10A,0.0
"NOS2,NOS3",WNT10B,0.0
"NOS2,NOS3",WNT11,0.0
"NOS2,NOS3",WNT16,0.0
"NOS2,NOS3",WNT2,0.0
"NOS2,NOS3",WNT2B,0.0
"NOS2,NOS3",WNT3,0.0
"NOS2,NOS3",WNT3A,0.0
"NOS2,NOS3",WNT4,0.0
"NOS2,NOS3",WNT5A,0.0
"NOS2,NOS3",WNT5B,0.0
"NOS2,NOS3",WNT6,0.0
"NOS2,NOS3",WNT7A,0.0
"NOS2,NOS3",WNT7B,0.0
"NOS2,NOS3",WNT8A,0.0
"NOS2,NOS3",WNT8B,0.0
"NOS2,NOS3",WNT9A,0.0
"NOS2,NOS3",WNT9B,0.0
"NOS2,NOS3",GNAI1,-2.0
"NOS2,NOS3",GNAI2,-2.0
"NOS2,NOS3",GNAI3,-2.0
"NOS2,NOS3",GNAO1,-2.0
"NOS2,NOS3",HDAC1,-84.0
"NOS2,NOS3",HDAC4,36.0
"NOS2,NOS3",MEF2A,31.0
"NOS2,NOS3",MEF2B,30.0
"NOS2,NOS3",MEF2C,31.0
"NOS2,NOS3",MEF2D,31.0
"NOS2,NOS3",HDAC5,36.0
"NOS2,NOS3",HES1,119.0
"NOS2,NOS3",ERBB2,0.0
"NOS2,NOS3",NFKB2,85.0
"NOS2,NOS3",HES5,119.0
"NOS2,NOS3",HEY1,119.0
"NOS2,NOS3",HEY2,119.0
"NOS2,NOS3",HEYL,119.0
"NOS2,NOS3",HIF1A,46.0
"NOS2,NOS3",PFKP,0.0
"NOS2,NOS3",PFKM,0.0
"NOS2,NOS3",PGAM1,0.0
"NOS2,NOS3",PGAM2,0.0
"NOS2,NOS3",PGAM4,0.0
"NOS2,NOS3",PKM,0.0
"NOS2,NOS3",HLA-A,-1.0
"NOS2,NOS3",HLA-B,-1.0
"NOS2,NOS3",HLA-C,-1.0
"NOS2,NOS3",HLA-E,-1.0
"NOS2,NOS3",HLA-F,-1.0
"NOS2,NOS3",HLA-G,-1.0
"NOS2,NOS3",HNF1A,10.0
"NOS2,NOS3",FOXA3,0.0
"NOS2,NOS3",HNF4A,3.0
"NOS2,NOS3",HNF4G,0.0
"NOS2,NOS3",PKLR,0.0
"NOS2,NOS3",SLC2A2,0.0
"NOS2,NOS3",HSF1,6.0
"NOS2,NOS3",IDO1,0.0
"NOS2,NOS3",IDO2,0.0
"NOS2,NOS3",IFNGR1,1.0
"NOS2,NOS3",MARCKSL1,0.0
"NOS2,NOS3",IFNGR2,1.0
"NOS2,NOS3",IL18R1,0.0
"NOS2,NOS3",IL18RAP,0.0
"NOS2,NOS3",IL6R,1.0
"NOS2,NOS3",SOCS3,0.0
"NOS2,NOS3",INSR,1.0
"NOS2,NOS3",PNPLA2,0.0
"NOS2,NOS3",IRF1,-1.0
"NOS2,NOS3",IRF3,44.0
"NOS2,NOS3",CD80,0.0
"NOS2,NOS3",CD86,0.0
"NOS2,NOS3",CXCL11,0.0
"NOS2,NOS3",CXCL9,0.0
"NOS2,NOS3",IFNA1,0.0
"NOS2,NOS3",IFNA10,0.0
"NOS2,NOS3",IFNA13,0.0
"NOS2,NOS3",IFNA14,0.0
"NOS2,NOS3",IFNA16,0.0
"NOS2,NOS3",IFNA17,0.0
"NOS2,NOS3",IFNA2,0.0
"NOS2,NOS3",IFNA21,0.0
"NOS2,NOS3",IFNA4,0.0
"NOS2,NOS3",IFNA5,0.0
"NOS2,NOS3",IFNA6,0.0
"NOS2,NOS3",IFNA7,0.0
"NOS2,NOS3",IFNA8,0.0
"NOS2,NOS3",IFNE,0.0
"NOS2,NOS3",IFNK,0.0
"NOS2,NOS3",IFNW1,0.0
"NOS2,NOS3",IFIT1,0.0
"NOS2,NOS3",IFIT1B,0.0
"NOS2,NOS3",IL15,0.0
"NOS2,NOS3",APOBEC3A,0.0
"NOS2,NOS3",APOBEC3A_B,0.0
"NOS2,NOS3",APOBEC3B,0.0
"NOS2,NOS3",APOBEC3C,0.0
"NOS2,NOS3",APOBEC3D,0.0
"NOS2,NOS3",APOBEC3F,0.0
"NOS2,NOS3",APOBEC3G,0.0
"NOS2,NOS3",APOBEC3H,0.0
"NOS2,NOS3",BST2,0.0
"NOS2,NOS3",SAMHD1,0.0
"NOS2,NOS3",TRIM5,0.0
"NOS2,NOS3",IRF5,3.0
"NOS2,NOS3",IRF7,26.0
"NOS2,NOS3",IRF8,-2.0
"NOS2,NOS3",IRF9,27.0
"NOS2,NOS3",IL17D,0.0
"NOS2,NOS3",EIF2AK1,0.0
"NOS2,NOS3",EIF2AK2,0.0
"NOS2,NOS3",EIF2AK3,0.0
"NOS2,NOS3",EIF2AK4,0.0
"NOS2,NOS3",MX1,0.0
"NOS2,NOS3",OAS1,0.0
"NOS2,NOS3",OAS2,0.0
"NOS2,NOS3",OAS3,0.0
"NOS2,NOS3",RSAD2,0.0
"NOS2,NOS3",ADAR,0.0
"NOS2,NOS3",PML,49.0
"NOS2,NOS3",ISG15,0.0
"NOS2,NOS3",JAG1,-1.0
"NOS2,NOS3",AGER,0.0
"NOS2,NOS3",F3,0.0
"NOS2,NOS3",THBD,0.0
"NOS2,NOS3",MMP7,0.0
"NOS2,NOS3",CD44,0.0
"NOS2,NOS3",CD58,0.0
"NOS2,NOS3",ENTPD1,0.0
"NOS2,NOS3",ENTPD3,0.0
"NOS2,NOS3",ENTPD8,0.0
"NOS2,NOS3",FCER2,0.0
